champ,url
Syndra,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/65/SyndraSquare.png
Tahm Kench,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/03/Tahm_KenchSquare.png
Taliyah,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/2d/TaliyahSquare.png
Talon,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f9/TalonSquare.png
Taric,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c4/TaricSquare.png
Teemo,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/04/TeemoSquare.png
Thresh,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7b/ThreshSquare.png
Tristana,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/06/TristanaSquare.png
Trundle,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c4/TrundleSquare.png
Tryndamere,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/5f/TryndamereSquare.png
Twisted Fate,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/fb/Twisted_FateSquare.png
Twitch,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/79/TwitchSquare.png
Udyr,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d1/UdyrSquare.png
Urgot,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/88/UrgotSquare.png
Varus,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c2/VarusSquare.png
Vayne,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/95/VayneSquare.png
Veigar,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/8f/VeigarSquare.png
Vel'koz,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/05/Vel%27KozSquare.png
Vi,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c0/ViSquare.png
Viktor,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/a3/ViktorSquare.png
Vladimir,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/75/VladimirSquare.png
Volibear,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f9/VolibearSquare.png
Warwick,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/42/WarwickSquare.png
Wukong,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6d/WukongSquare.png
Xayah,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b5/XayahSquare.png
Xerath,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7a/XerathSquare.png
Xin Zhao,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/63/Xin_ZhaoSquare.png
Yasuo,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c0/YasuoSquare.png
Yorick,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d8/YorickSquare.png
Yuumi,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/70/YuumiSquare.png
Zac,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/81/ZacSquare.png
Zed,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/bb/ZedSquare.png
Ziggs,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/55/ZiggsSquare.png
Zilean,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/ac/ZileanSquare.png
Zoe,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b8/ZoeSquare.png
Zyra,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/1a/ZyraSquare.png
